opponent,mine,index
f8c5,d2d4,27
c5b6,d4d5,36
c6a5,f1d3,37
c7c6,d5d6,40
d8f6,d3e2,38
b6c5,b2b4,38
c5f2,e1f2,2
e2e4,g7g6,19
d2d3,d7d6,20
b1c3,g8f6,27
h2h3,f8g7,30
c1g5,e8g8,32
d1c1,e7e5,30
c3d5,b8d7,28
c1d2,c7c6,22
d5f6,g7f6,3
g5e3,d7c5,25
e3c5,d6c5,28
d2c3,c8e6,31
g1f3,d8c7,38
a2a4,b7b5,40
h3h4,b5b4,41
c3c5,f6e7,39
c5e5,e7d6,40
e5f6,e6g4,37
d3d4,g4f3,35
e4e5,d6e7,32
f6f3,c6c5,33
f1a6,a8b8,32
h4h5,g6g5,33
f3f5,c5d4,29
a6d3,f7f6,34
e2e4,g7g6,19
f1c4,d7d6,20
d1f3,g8f6,27
a2a4,f8g7,30
g1e2,e8g8,33
b1c3,e7e5,31
e1g1,b8c6,30
d2d3,c8g4,31
f3g3,h7h5,36
f2f3,g4e6,34
c4e6,f7e6,30
g3h3,d8e7,31
c1g5,e7e8,34
f3f4,e5f4,32
e2f4,e6e5,33
f4e6,f8f7,32
e6c7,f7c7,36
g5f6,g7f6,35
c3d5,c7f7,39
f1f6,c6d4,32
a1f1,d4e2,37
g1f2,e2f4,35
h3f3,f4d5,35
e4d5,e8e7,30
f2e2,a8f8,26
f6g6,g8h7,2
e2e4,g7g6,19
b1c3,d7d6,20
g1f3,g8f6,27
f1c4,f8g7,30
d2d4,e8g8,33
c1g5,h7h6,30
g5f6,g7f6,26
e4e5,d6e5,29
d4e5,f6g7,33
e1g1,b8c6,30
h2h3,c8f5,31
e5e6,f7e6,38
d1e2,c6d4,38
f3d4,d8d4,31
c4e6,f5e6,3
e2e6,g8h7,2
a1d1,d4f6,48
e6e4,a8d8,37
d1d8,f8d8,31
e4b7,f6d4,41
b7c7,g7f6,41
f1d1,d4d1,40
c3d1,d8d1,28
g1h2,f6b2,28
c7e7,b2g7,2
e7a7,d1d2,17
c2c4,h7g8,15
g2g3,g7d4,24
a7b8,g8f7,2
b8f4,f7g7,5
start,e2e4,19
e7e5,g1f3,28
b8c6,c2c3,26
f8c5,d2d4,27
e5d4,c3d4,38
c5b4,b1c3,5
d7d5,e4e5,33
c8f5,f1d3,31
f5d3,d1d3,26
f7f6,e1g1,39
f6e5,d4e5,41
d8e7,c1g5,43
c6e5,f1e1,50
e5d3,g5e7,40
d3e1,a1e1,33
g8e7,c3d5,31
b4e1,d5c7,23
e8f7,c7a8,21
e1f2,g1f2,2
h8a8,f3e5,20
f7f6,e5d7,22
f6e6,d7c5,20
e6d5,c5b7,22
a8f8,f2g1,4
e7f5,b2b3,14
f5e3,b7a5,11
d2d4,g7g6,19
e2e4,d7d6,20
c2c4,g8f6,27
b1c3,f8g7,30
c1e3,b8a6,33
a2a3,b7b6,32
b2b4,c7c5,32
d4d5,e8g8,31
f1d3,e7e6,29
d1d2,e6e5,26
g1e2,c5b4,28
a3b4,a6b4,28
e1g1,a7a5,33
f1b1,c8d7,34
c3b5,d7b5,35
c4b5,f6d7,29
e2c3,d7c5,31
c3a2,b4d3,37
e3c5,d6c5,32
d2d3,f7f5,26
a2c3,g7h6,29
e4f5,f8f5,32
b1e1,d8f6,38
c3e4,a8c8,36
e4f6,f5f6,4
e1e5,c5c4,29
d3e4,f6f8,30
a1e1,c4c3,26
f2f3,c3c2,26
f3f4,c2c1q,26
e1c1,c8c1,24
g1f2,f8f4,30
e4f4,h6f4,21
e5e8,g8f7,1
e8b8,a5a4,30
b8b6,a4a3,32
b6a6,c1c2,32
f2f3,f4e5,32
f3e4,e5f6,34
a6a3,c2g2,31
a3a7,f7e8,3
b5b6,g2b2,26
b6b7,h7h5,29
d5d6,e8d8,27
e4d5,g6g5,24
d5e6,f6d4,21
e6f5,d4a7,27
start,e2e4,19
d7d5,e4d5,30
d8d5,b1c3,28
d5e5,f1e2,4
c8f5,g1f3,20
e5c5,d2d4,29
c5c6,e2b5,36
c6b5,c3b5,31
e8d8,e1g1,35
e7e6,c1f4,32
b8a6,f3e5,39
f8d6,e5f7,43
d8e7,f7h8,43
d6f4,d4d5,31
a6c5,b5c7,34
f4c7,d1h5,29
g7g6,h5h7,35
e7d6,h8f7,34
d6d5,a1d1,34
d5c6,f7e5,38
c6b6,g2g4,44
c7e5,g4f5,38
g6f5,f1e1,37
e5b2,e1e5,40
g8f6,h7h3,44
a8g8,g1h1,4
b2e5,d1b1,34
b6c6,h3f3,33
c5e4,f3b3,32
e4c5,b3c4,30
g8g4,c4e2,34
g4e4,e2d2,34
e4d4,d2h6,34
f6g4,h6f8,36
g4f2,h1g2,1
f2e4,f8e8,38
d4d7,e8c8,36
c6d6,b1b5,35
d7c7,c8f8,29
d6c6,b5b4,33
e5c3,b4c4,33
b7b5,c4c3,29
e4c3,h2h4,25
c3a2,h4h5,25
a7a5,f8e8,25
c7d7,h5h6,22
c6b6,e8g8,23
d7d2,g2h3,5
d2c2,h6h7,19
c2c3,h3h4,3
c3c4,h4g5,4
c5e4,g5g6,4
c4c7,h7h8q,15
a5a4,g8b8,25
c7b7,h8d8,34
b6a6,b8a8,30
b7a7,d8c8,28
a6b6,a8b8,24
a7b7,b8b7,25
b6a5,c8a8,35
a5b4,b7e7,30
b4c3,a8c8,37
c3d3,e7a3,40
a2c3,c8d7,32
d3e3,d7e6,35
e3d3,e6f5,35
d3d4,f5e4,35
c3e4,a3b2,22
e4c3,b2d2,22
d4c4,g6f5,28
a4a3,d2c1,27
a3a2,f5e5,22
b5b4,c1f1,20
c4b3,e5d4,26
c3a4,f1d1,25
b3a3,d4c4,21
b4b3,d1b3,23
d2d4,g7g6,19
c1f4,d7d6,20
e2e3,g8f6,27
g1f3,f8g7,30
f1d3,e8g8,33
b1d2,b8a6,31
c2c3,c7c5,30
e1g1,c8g4,33
h2h3,g4f3,37
d2f3,f6d5,31
e3e4,d5f4,36
d3c2,c5d4,37
c3d4,a6b4,36
c2b3,e7e5,38
d1d2,e5d4,39
f3d4,d8b6,40
d2f4,b6d4,33
f1e1,b4d3,40
e1d1,d4b2,41
f4d6,b2f2,42
g1h1,g7a1,49
d1d3,f2f1,42
h1h2,f8e8,37
g2g3,f1f2,41
h2h1,e8e4,45
d3d1,e4e2,53
d6b4,f2h2,45
e2e4,g7g6,19
g1f3,d7d6,20
d2d4,g8f6,27
b1c3,f8g7,30
f1c4,e8g8,33
c1g5,h7h6,30
g5h4,g6g5,31
f3g5,b8a6,30
g5f3,c7c5,29
c3d5,f6e4,30
f3d2,c8f5,34
d2e4,f5e4,33
d1g4,f7f5,30
g4f4,e7e6,32
h4e7,d8a5,33
b2b4,a6b4,39
e7f8,b4d5,39
f4d2,d5b4,43
c4e6,g8f8,2
e1g1,g7d4,37
d2h6,f8e7,2
e6b3,e4d5,44
f1e1,e7d7,6
h6h7,d7c6,4
h7f5,d5b3,42
a2b3,b4c2,37
a1a5,c2e1,27
start,e2e4,19
e7e5,g1f3,28
b8c6,c2c3,26
g8f6,d2d4,27
f6e4,d4d5,35
c6e7,f1d3,36
f7f5,d3e4,39
f5e4,f3e5,35
d7d6,e5c4,41
g7g6,e1g1,39
b7b5,c4e3,36
c8b7,b1a3,30
a7a6,f2f3,31
e4f3,f1f3,31
f8h6,d1d4,38
h6e3,f3e3,5
e8d7,c3c4,42
d7c8,d4g4,42
e7f5,e3c3,40
h8f8,c4b5,38
a6b5,a3b5,44
b7d5,c1f4,48
d8e8,f4d6,50
e8b5,d6f8,51
b5b2,c3c1,47
a8a2,g4f4,39
e2e4,g7g6,19
b1c3,d7d6,20
f1c4,g8f6,27
g1f3,f8g7,30
d2d4,b8a6,33
c1f4,c7c5,32
d4d5,e8g8,32
c3b5,f6e4,29
d1e2,f7f5,36
f3g5,g7b2,32
a1b1,b2c3,35
f4d2,c3d2,36
e1f1,d2g5,34
f2f3,e4f6,34
a2a4,a6b4,33
c2c3,b4d5,38
g2g3,a7a6,31
e2e4,g7g6,19
g1f3,d7d6,20
f1c4,g8f6,27
f3g5,f8g7,29
g5f7,e8d7,33
f7d8,h8d8,27
start,d2d4,19
d7d5,c1f4,26
c8f5,e2e3,30
b8c6,f1b5,37
d8d7,c2c3,40
a7a6,b5c6,41
d7c6,d1b3,34
g8f6,f2f3,33
e7e6,g1e2,32
f8d6,f4d6,34
c6d6,e1g1,31
b7b5,a2a4,27
c7c6,a4b5,29
c6b5,b1d2,31
e8g8,e3e4,37
d5e4,g2g4,39
e4f3,f1f3,39
f5g4,f3e3,43
f6d5,e3e5,40
h7h6,c3c4,40
g4e2,c4d5,42
e2c4,d2c4,42
b5c4,b3c4,41
f8c8,c4e2,42
d6b4,d5e6,40
b4d4,g1h1,5
f7e6,e5e6,41
c8f8,a1a6,44
d4d5,e2g2,4
d5d1,g2g1,2
f8f1,a6a8,28
g8h7,e6h6,33
h7h6,a8h8,19
start,d2d4,19
g8f6,c1f4,27
g7g6,e2e3,31
f8g7,g1f3,38
e8g8,c2c3,37
d7d6,b1d2,37
c8g4,f1d3,37
a7a5,e1g1,46
b8d7,h2h3,42
g4f3,d1f3,43
h7h5,f3b7,47
c7c5,d3e4,56
a8b8,b7a7,51
b8b2,d2c4,47
b2f2,f1f2,50
f6e4,f2b2,42
e4c3,c4a5,48
c5d4,e3d4,45
c3b5,b2b5,43
d7f6,a5c6,49
d8c8,c6e7,55
g8h8,e7c8,54
f8c8,a7f7,50
f6g8,b5b7,53
g7d4,g1h1,3
g8f6,f7g7,45
e2e4,g7g6,19
b1c3,d7d6,20
d2d4,g8f6,27
f1c4,f8g7,30
d1f3,e8g8,33
e4e5,f6h5,31
g2g4,c8g4,28
f3g4,c7c5,25
g4f3,e7e6,27
f3b7,b8d7,30
e5d6,c5d4,33
c3e2,a8b8,33
b7a7,d4d3,35
c4d3,g7b2,37
c1b2,b8b2,30
g1f3,f7f5,36
f3g5,d8g5,35
a7d7,f8d8,36
d7e6,g8f8,2
h1g1,g5h4,33
d3f5,h4b4,36
c2c3,b2b1,36
a1b1,b4b1,32
e1d2,b1b6,31
e6f6,f8g8,2
e2e4,g7g6,19
d1f3,d7d6,20
f1c4,e7e6,27
g1h3,g8f6,29
d2d3,f8g7,28
c1g5,h7h6,29
g5f6,g7f6,24
b1c3,e8g8,29
e1c1,b8c6,28
f3e3,c6d4,30
e3h6,e6e5,27
c1b1,c8h3,30
g2h3,f6g5,28
h6g5,d8g5,27
h1g1,g5h5,40
c3d5,d4e2,38
g1e1,e2d4,34
d5c7,a8c8,35
c7d5,b7b5,38
d5f6,g8g7,1
f6h5,g6h5,4
c4d5,c8c2,32
e1g1,g7f6,3
g1g3,c2f2,28
d1h1,f8b8,28
h1g1,b8b6,30
g3g7,d4e6,25
g7h7,e6g5,26
h7h5,g5f3,24
h5f5,f6e7,0
f5f7,e7e8,1
g2g3,g7g6,19
b2b3,d7d6,20
c1b2,g8f6,27
b2f6,e7f6,25
d1c1,f8g7,26
c1b2,e8g8,28
f1g2,c8f5,25
e2e4,f5e6,26
g1e2,b8c6,29
d2d4,d6d5,33
b1c3,d5e4,31
g2e4,f6f5,35
e4f3,g7d4,39
f3c6,b7c6,38
a1d1,d8f6,36
d1d4,c6c5,29
d4a4,a8d8,31
b2a3,e6d5,34
a4a6,f6e5,37
f2f4,e5e3,37
c3d1,f8e8,41
d1e3,d5h1,29
start,d2d4,19
b7b6,c1f4,27
g7g6,e2e3,31
f8g7,c2c3,38
c8b7,g1f3,39
b7f3,d1f3,34
c7c6,f1b5,37
f7f6,e1g1,42
a7a6,b5d3,38
e7e5,d4e5,38
f6e5,f4g3,36
d7d6,d3e4,36
g8e7,b1d2,30
d6d5,e4c2,36
h8f8,f3g4,42
h7h5,g4g5,52
e7f5,c2f5,43
f8f5,g5g6,36
f5f7,g6e6,42
d8e7,e6c8,40
e7d8,c8e6,37
d8e7,e6c8,40
e7d8,c8e6,37
start,d2d4,19
d7d5,c1f4,26
g8f6,e2e3,30
e7e6,g1f3,37
c7c5,c2c3,38
c5c4,f1e2,35
b7b5,e1g1,36
f6e4,b1d2,32
e4d2,d1d2,33
h7h5,a2a4,36
c8d7,f3e5,38
h8h7,e5d7,42
d8d7,h2h3,38
h5h4,f4e5,38
f7f6,e5b8,38
a8b8,b2b4,31
b5a4,d2c2,31
g7g5,a1a4,37
e6e5,d4e5,37
f6e5,c2g6,36
e8d8,e2g4,43
h7g7,g6f6,42
d7e7,f6c6,41
e7d6,c6d6,38
f8d6,a4a6,25
b8b6,a6b6,26
a7b6,f1a1,19
d5d4,a1a8,29
d8c7,a8c8,31
